station_id,2023-05-06
SNOTEL:834_CA_SNTL,16.9
SNOTEL:835_MT_SNTL,0
SNOTEL:837_WY_SNTL,34.1
SNOTEL:838_CO_SNTL,18.3
SNOTEL:839_CO_SNTL,0
SNOTEL:840_CO_SNTL,36.3
SNOTEL:841_WA_SNTL,4.9
SNOTEL:842_CO_SNTL,13.6
SNOTEL:844_UT_SNTL,16.6
SNOTEL:845_ID_SNTL,35.9
SNOTEL:847_MT_SNTL,6.4
SNOTEL:848_CA_SNTL,55.2
SNOTEL:849_NV_SNTL,16.3
SNOTEL:850_MT_SNTL,22.7
SNOTEL:851_WY_SNTL,-9999
SNOTEL:852_WY_SNTL,27.2
SNOTEL:854_NM_SNTL,11.4
SNOTEL:855_ID_SNTL,12.1
SNOTEL:857_CO_SNTL,0.2
SNOTEL:858_MT_SNTL,19.7
SNOTEL:859_WY_SNTL,35
SNOTEL:861_AZ_SNTL,-9999
SNOTEL:862_MT_SNTL,25
SNOTEL:863_WA_SNTL,19.2
SNOTEL:864_UT_SNTL,10.1
SNOTEL:865_UT_SNTL,8
SNOTEL:868_WY_SNTL,33.1
SNOTEL:869_CO_SNTL,18
SNOTEL:871_ID_SNTL,13
