station_id,2022-12-10
SNOTEL:655_OR_SNTL,7.0
SNOTEL:657_MT_SNTL,3.5
SNOTEL:658_CO_SNTL,3.6
SNOTEL:659_MT_SNTL,-9999.0
SNOTEL:661_WY_SNTL,2.8
SNOTEL:662_MT_SNTL,3.4
SNOTEL:663_CO_SNTL,3.9
SNOTEL:664_MT_SNTL,13.6
SNOTEL:665_NM_SNTL,0.0
SNOTEL:666_OR_SNTL,11.7
SNOTEL:667_MT_SNTL,10.7
SNOTEL:669_CO_SNTL,5.6
SNOTEL:670_MT_SNTL,3.4
SNOTEL:671_OR_SNTL,3.0
SNOTEL:672_WA_SNTL,12.4
SNOTEL:673_WY_SNTL,7.8
SNOTEL:676_WY_SNTL,2.4
SNOTEL:677_ID_SNTL,2.4
SNOTEL:678_NM_SNTL,-9999.0
SNOTEL:680_CO_SNTL,3.8
SNOTEL:681_WA_SNTL,7.9
SNOTEL:682_CO_SNTL,7.8
SNOTEL:683_WY_SNTL,7.4
SNOTEL:684_UT_SNTL,5.8
SNOTEL:685_CO_SNTL,-9999.0
SNOTEL:686_UT_SNTL,4.1
SNOTEL:689_WY_SNTL,8.2
SNOTEL:690_MT_SNTL,1.0
SNOTEL:691_UT_SNTL,4.1
SNOTEL:693_MT_SNTL,1.1
SNOTEL:694_UT_SNTL,5.2
SNOTEL:696_MT_SNTL,6.1
SNOTEL:698_NV_SNTL,6.3
SNOTEL:699_WA_SNTL,5.8
SNOTEL:700_MT_SNTL,1.8
SNOTEL:702_WA_SNTL,9.9
SNOTEL:704_ID_SNTL,2.0
SNOTEL:706_OR_SNTL,2.7
SNOTEL:708_NM_SNTL,0.5
SNOTEL:709_CO_SNTL,8.6
SNOTEL:710_OR_SNTL,0.1
SNOTEL:712_OR_SNTL,12.5
SNOTEL:713_CO_SNTL,5.5
SNOTEL:714_UT_SNTL,4.7
SNOTEL:715_NM_SNTL,1.0
SNOTEL:717_CO_SNTL,9.3
SNOTEL:718_CO_SNTL,5.1
SNOTEL:720_UT_SNTL,1.6
SNOTEL:723_UT_SNTL,5.8
SNOTEL:724_CA_SNTL,6.7
SNOTEL:726_OR_SNTL,4.2
SNOTEL:727_MT_SNTL,7.4
SNOTEL:728_WA_SNTL,4.4
SNOTEL:729_OR_SNTL,6.4
SNOTEL:730_WY_SNTL,3.8
SNOTEL:731_WY_SNTL,6.3
SNOTEL:732_WY_SNTL,4.6
SNOTEL:733_OR_SNTL,5.5
SNOTEL:734_WA_SNTL,7.4
SNOTEL:735_ID_SNTL,6.4
SNOTEL:736_OR_SNTL,6.3
SNOTEL:738_ID_SNTL,10.8
SNOTEL:739_CO_SNTL,2.7
SNOTEL:741_ID_SNTL,6.3
SNOTEL:742_UT_SNTL,4.8
SNOTEL:743_OR_SNTL,1.0
SNOTEL:744_NM_SNTL,0.3
SNOTEL:745_OR_SNTL,7.6
SNOTEL:746_NV_SNTL,2.5
SNOTEL:747_ID_SNTL,8.7
SNOTEL:748_WA_SNTL,13.1
SNOTEL:749_ID_SNTL,5.7
SNOTEL:751_WY_SNTL,3.9
SNOTEL:752_ID_SNTL,3.9
SNOTEL:754_MT_SNTL,7.2
SNOTEL:755_NM_SNTL,0.0
SNOTEL:756_OR_SNTL,3.2
SNOTEL:757_NM_SNTL,0.7
SNOTEL:758_MT_SNTL,-9999.0
SNOTEL:761_ID_SNTL,5.3
SNOTEL:762_CO_SNTL,3.0
SNOTEL:763_UT_SNTL,4.0
SNOTEL:764_WY_SNTL,6.1
SNOTEL:765_WY_SNTL,2.3
SNOTEL:767_OR_SNTL,2.7
SNOTEL:770_ID_SNTL,4.7
SNOTEL:771_CA_SNTL,6.0
SNOTEL:773_CO_SNTL,3.4
SNOTEL:777_WA_SNTL,5.7
SNOTEL:778_CA_SNTL,3.0
SNOTEL:779_WY_SNTL,5.7
SNOTEL:780_CO_SNTL,5.4
SNOTEL:781_MT_SNTL,7.4
SNOTEL:782_ID_SNTL,5.8
SNOTEL:784_CA_SNTL,13.2
SNOTEL:786_WY_SNTL,1.7
SNOTEL:787_MT_SNTL,8.6
SNOTEL:790_UT_SNTL,6.1
SNOTEL:791_WA_SNTL,8.7
SNOTEL:792_ID_SNTL,2.8
SNOTEL:793_CO_SNTL,1.2
SNOTEL:794_OR_SNTL,3.0
SNOTEL:795_UT_SNTL,2.3
SNOTEL:797_CO_SNTL,4.4
SNOTEL:798_WY_SNTL,4.0
SNOTEL:799_AZ_SNTL,-9999.0
SNOTEL:8011_WY_SNTL,-9999.0
SNOTEL:801_OR_SNTL,9.2
SNOTEL:803_ID_SNTL,5.3
SNOTEL:804_WA_SNTL,9.5
SNOTEL:805_ID_SNTL,4.9
SNOTEL:806_WY_SNTL,6.9
SNOTEL:8082_UT_SNTL,-9999.0
SNOTEL:809_CA_SNTL,3.5
SNOTEL:810_OR_SNTL,2.8
SNOTEL:811_NV_SNTL,1.6
SNOTEL:812_OR_SNTL,5.7
SNOTEL:814_UT_SNTL,8.0
SNOTEL:815_OR_SNTL,4.1
SNOTEL:816_WY_SNTL,7.6
SNOTEL:817_WA_SNTL,8.0
SNOTEL:818_WY_SNTL,2.5
SNOTEL:819_WY_SNTL,1.4
SNOTEL:820_UT_SNTL,7.4
SNOTEL:822_WY_SNTL,7.4
SNOTEL:823_UT_SNTL,10.0
SNOTEL:824_WA_SNTL,10.3
SNOTEL:825_CO_SNTL,11.7
SNOTEL:826_WY_SNTL,2.7
